beam_size,max_len,predicted_expr,bfgs_loss,r2_score,mse,inference_time,equation_idx,equation_name,true_expr,csv_index,num_variables
1,30,FAILED,inf,-inf,inf,11.688702821731567,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
1,50,FAILED,inf,-inf,inf,11.597061395645142,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
1,75,FAILED,inf,-inf,inf,11.585195064544678,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
1,100,FAILED,inf,-inf,inf,12.000152111053467,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
1,150,FAILED,inf,-inf,inf,11.997593402862549,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
1,200,FAILED,inf,-inf,inf,12.138968467712402,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
3,30,FAILED,inf,-inf,inf,40.21185803413391,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
3,50,FAILED,inf,-inf,inf,39.75734353065491,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
3,75,FAILED,inf,-inf,inf,40.57764720916748,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
3,100,FAILED,inf,-inf,inf,41.20076656341553,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
3,150,FAILED,inf,-inf,inf,39.503878593444824,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
3,200,FAILED,inf,-inf,inf,40.09174346923828,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
5,30,-0.926448077896672*x_1 + log((0.183742336315766*x_1 + x_2**2)**2) - 0.264274782413259,2.235963821411133,0.9455474784543048,2.235963821411133,62.660003662109375,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
5,50,-0.926448080037756*x_1 + log((0.183742336419863*x_1 + x_2**2)**2) - 0.264274888985213,2.235963821411133,0.9455474786500997,2.235963821411133,62.15824341773987,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
5,75,-0.926448089980292*x_1 + log((0.183742336446031*x_1 + x_2**2)**2) - 0.264274941725575,2.235963821411133,0.9455474792339554,2.235963821411133,61.84099626541138,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
5,100,-0.92644807996909*x_1 + log((0.183742335886149*x_1 + x_2**2)**2) - 0.264274810905,2.235963821411133,0.9455474784954225,2.235963821411133,62.222368001937866,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
5,150,-0.840969825686393*x_1 + log((-0.104511943334876*x_1 + x_2**2)**2) - 0.188302163710633,4.1873908042907715,0.898024301729881,4.1873908042907715,61.43104600906372,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
5,200,-0.914193182402469*x_1 + log((0.0771448785191608*x_1 + x_2**2)**2) - 0.140714569871785,2.1403441429138184,0.9478761129945648,2.1403441429138184,63.49118971824646,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
8,30,-0.914193262790238*x_1 + log((0.0771448698832545*x_1 + x_2**2)**2) - 0.140714816000585,2.1403441429138184,0.9478761136302907,2.1403441429138184,96.77105593681335,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
8,50,-0.916273421203118*x_1 + log((0.0877272266642628*x_1 + x_2**2)**2) - 0.152973166138106,2.140312433242798,0.9478768826641568,2.140312433242798,94.67759156227112,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
8,75,-0.914193212288285*x_1 + log((0.0771448798550187*x_1 + x_2**2)**2) - 0.140714699095733,2.1403441429138184,0.9478761133174506,2.1403441429138184,92.4901978969574,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
8,100,-0.914193171535501*x_1 + log((0.0771448735604109*x_1 + x_2**2)**2) - 0.14071470722237,2.1403441429138184,0.9478761132691895,2.1403441429138184,92.37088966369629,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
8,150,-0.917848481289169*x_1 + log((0.0852004996535478*x_1 + x_2**2)**2) - 0.141369458381362,2.1503818035125732,0.9476316640777205,2.1503818035125732,93.74112725257874,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
8,200,-0.926448076988043*x_1 + log((0.183742336401766*x_1 + x_2**2)**2) - 0.264274602870102,2.235964059829712,0.9455474771968456,2.235964059829712,93.14409041404724,0,eq_0,-x_1 + log(x_1 + x_2**4),0,2
